word	typo_mistake
á	as
à	af
ả	ar
ã	ax
ạ	aj
â	aa
ấ	aas
ầ	aaf
ẩ	aar
ẫ	aax
ậ	aaj
ă	aw
ắ	aws
ằ	awf
ẳ	awr
ẵ	awx
ặ	awj
ó	os
ò	of
ỏ	or
õ	ox
ọ	oj
ô	oo
ố	oos
ồ	oof
ổ	oor
ỗ	oox
ộ	ooj
ơ	ow
ớ	ows
ờ	owf
ở	owr
ỡ	owx
ợ	owj
é	es
è	ef
ẻ	er
ẽ	ex
ẹ	ej
ê	ee
ế	ees
ề	eef
ể	eer
ễ	eex
ệ	eej
ú	us
ù	uf
ủ	ur
ũ	ux
ụ	uj
ư	uw
ứ	uws
ừ	uwf
ử	uwr
ữ	uwx
ự	uwj
í	is
ì	if
ỉ	ir
ĩ	ix
ị	ij
ý	ys
ỳ	yf
ỷ	yr
ỹ	yx
ỵ	yj
ấ	asa
ầ	afa
ẩ	ara
ẫ	axa
ậ	aja
ắ	asw
ằ	afw
ẳ	arw
ẵ	axw
ặ	ajw
ố	oso
ồ	ofo
ổ	oro
ỗ	oxo
ộ	ojo
ớ	osw
ờ	ofw
ở	orw
ỡ	oxw
ợ	ojw
ế	ese
ề	efe
ể	ere
ễ	exe
ệ	eje
ứ	usw
ừ	ufw
ử	urw
ữ	uxw
ự	ujw
đ	dd
âu	aau
ây	aay
êu	eeu
iê	iee
yê	yee
oă	oaw
ôi	ooi
ơi	owi
uâ	uaa
ưa	uaw
uê	uee
ưi	uwi
uô	uoo
ươ	uow
ưu	uuw
ơi	oiw
ưa	uwa
ưi	uiw
ưu	uwu
ái	ais
áo	aos
áu	aus
ấu	aaus
áy	ays
ấy	aays
éo	eos
ếu	eeus
ía	ias
iế	iees
yế	yees
íu	ius
óa	oas
oắ	oaws
óe	oes
ói	ois
ối	oois
ới	owis
úa	uas
uấ	uaas
ứa	uaws
uế	uees
úi	uis
ưi	uwis
úo	uos
uố	uoos
ướ	uows
ứu	uuws
úy	uys
ới	oiws
ứa	uwas
ứi	uiws
ứu	uwus
ái	asi
áo	aso
áu	asu
ấu	asau
áy	asy
ấy	asay
éo	eso
ếu	eseu
ía	isa
iế	isee
yế	ysee
íu	isu
óa	osa
oắ	osaw
óe	ose
ói	osi
ối	osoi
ới	oswi
úa	usa
uấ	usaa
ứa	usaw
uế	usee
úi	usi
ưi	uswi
úo	uso
uố	usoo
ướ	usow
ứu	usuw
úy	usy
ới	osiw
ứa	uswa
ứi	usiw
ứu	uswu
ài	aif
ào	aof
àu	auf
ầu	aauf
ày	ayf
ầy	aayf
èo	eof
ều	eeuf
ìa	iaf
iề	ieef
yề	yeef
ìu	iuf
òa	oaf
oằ	oawf
òe	oef
òi	oif
ồi	ooif
ời	owif
ùa	uaf
uầ	uaaf
ừa	uawf
uề	ueef
ùi	uif
ừi	uwif
ùo	uof
uồ	uoof
ườ	uowf
ừu	uuwf
ùy	uyf
ời	oiwf
ừa	uwaf
ừi	uiwf
ừu	uwuf
ài	afi
ào	afo
àu	afu
ầu	afau
ày	afy
ầy	afay
èo	efo
ều	efeu
ìa	ifa
iề	ifee
yề	yfee
ìu	ifu
òa	ofa
oằ	ofaw
òe	ofe
òi	ofi
ồi	ofoi
ời	ofwi
ùa	ufa
uầ	ufaa
ừa	ufaw
uề	ufee
ùi	ufi
ừi	ufwi
ùo	ufo
uồ	ufoo
ườ	ufow
ừu	ufuw
ùy	ufy
ời	ofiw
ừa	ufwa
ừi	ufiw
ừu	ufwu
ải	air
ảo	aor
ảu	aur
ẩu	aaur
ảy	ayr
ẩy	aayr
ẻo	eor
ểu	eeur
ỉa	iar
iể	ieer
yể	yeer
ỉu	iur
ỏa	oar
oẳ	oawr
ỏe	oer
ỏi	oir
ổi	ooir
ởi	owir
ủa	uar
uẩ	uaar
ửa	uawr
uể	ueer
ủi	uir
ửi	uwir
ủo	uor
uổ	uoor
ưở	uowr
ửu	uuwr
ủy	uyr
ởi	oiwr
ửa	uwar
ửi	uiwr
ửu	uwur
ải	ari
ảo	aro
ảu	aru
ẩu	arau
ảy	ary
ẩy	aray
ẻo	ero
ểu	ereu
ỉa	ira
iể	iree
yể	yree
ỉu	iru
ỏa	ora
oẳ	oraw
ỏe	ore
ỏi	ori
ổi	oroi
ởi	orwi
ủa	ura
uẩ	uraa
ửa	uraw
uể	uree
ủi	uri
ửi	urwi
ủo	uro
uổ	uroo
ưở	urow
ửu	uruw
ủy	ury
ởi	oriw
ửa	urwa
ửi	uriw
ửu	urwu
ãi	aix
ão	aox
ãu	aux
ẫu	aaux
ãy	ayx
ẫy	aayx
ẽo	eox
ễu	eeux
ĩa	iax
iễ	ieex
yễ	yeex
ĩu	iux
õa	oax
oẵ	oawx
õe	oex
õi	oix
ỗi	ooix
ỡi	owix
ũa	uax
uẫ	uaax
ữa	uawx
uễ	ueex
ũi	uix
ữi	uwix
ũo	uox
uỗ	uoox
ưỡ	uowx
ữu	uuwx
ũy	uyx
ỡi	oiwx
ữa	uwax
ữi	uiwx
ữu	uwux
ãi	axi
ão	axo
ãu	axu
ẫu	axau
ãy	axy
ẫy	axay
ẽo	exo
ễu	exeu
ĩa	ixa
iễ	ixee
yễ	yxee
ĩu	ixu
õa	oxa
oẵ	oxaw
õe	oxe
õi	oxi
ỗi	oxoi
ỡi	oxwi
ũa	uxa
uẫ	uxaa
ữa	uxaw
uễ	uxee
ũi	uxi
ữi	uxwi
ũo	uxo
uỗ	uxoo
ưỡ	uxow
ữu	uxuw
ũy	uxy
ỡi	oxiw
ữa	uxwa
ữi	uxiw
ữu	uxwu
ại	aij
ạo	aoj
ạu	auj
ậu	aauj
ạy	ayj
ậy	aayj
ẹo	eoj
ệu	eeuj
ịa	iaj
iệ	ieej
yệ	yeej
ịu	iuj
ọa	oaj
oặ	oawj
ọe	oej
ọi	oij
ội	ooij
ợi	owij
ụa	uaj
uậ	uaaj
ựa	uawj
uệ	ueej
ụi	uij
ựi	uwij
ụo	uoj
uộ	uooj
ượ	uowj
ựu	uuwj
ụy	uyj
ợi	oiwj
ựa	uwaj
ựi	uiwj
ựu	uwuj
ại	aji
ạo	ajo
ạu	aju
ậu	ajau
ạy	ajy
ậy	ajay
ẹo	ejo
ệu	ejeu
ịa	ija
iệ	ijee
yệ	yjee
ịu	iju
ọa	oja
oặ	ojaw
ọe	oje
ọi	oji
ội	ojoi
ợi	ojwi
ụa	uja
uậ	ujaa
ựa	ujaw
uệ	ujee
ụi	uji
ựi	ujwi
ụo	ujo
uộ	ujoo
ượ	ujow
ựu	ujuw
ụy	ujy
ợi	ojiw
ựa	ujwa
ựi	ujiw
ựu	ujwu
iêu	ieeu
yêu	yeeu
oai	oai
oao	oao
oay	oay
oeo	oeo
uao	uao
uây	uaay
uôi	uooi
ươi	uoiw
ươu	uowu
uya	uya
uyê	uyee
uyu	uyu
iêu	ieue
yêu	yeue
uây	uaya
uôi	uoio
ươi	uowi
ươu	uouw
iếu	ieeus
yếu	yeeus
oái	oais
óao	oaos
oáy	oays
oéo	oeos
úao	uaos
uấy	uaays
uối	uoois
ưới	uoiws
ướu	uowus
uýa	uyas
uyế	uyees
uýu	uyus
iếu	ieues
yếu	yeues
uấy	uayas
uối	uoios
ưới	uowis
ướu	uouws
iếu	iseeu
yếu	yseeu
oái	osai
óao	osao
oáy	osay
oéo	oseo
úao	usao
uấy	usaay
uối	usooi
ưới	usoiw
ướu	usowu
uýa	usya
uyế	usyee
uýu	usyu
iếu	iseue
yếu	yseue
uấy	usaya
uối	usoio
ưới	usowi
ướu	usouw
iếu	ieseu
yếu	yeseu
oái	oasi
óao	oaso
oáy	oasy
oéo	oeso
úao	uaso
uấy	uasay
uối	uosoi
ưới	uosiw
ướu	uoswu
uýa	uysa
uyế	uysee
uýu	uysu
iếu	iesue
yếu	yesue
uấy	uasya
uối	uosio
ưới	uoswi
ướu	uosuw
iếu	ieesu
yếu	yeesu
uấy	uaasy
uối	uoosi
ưới	uoisw
ướu	uowsu
uyế	uyese
iếu	ieuse
yếu	yeuse
uấy	uaysa
uối	uoiso
ưới	uowsi
ướu	uousw
iều	ieeuf
yều	yeeuf
oài	oaif
òao	oaof
oày	oayf
oèo	oeof
ùao	uaof
uầy	uaayf
uồi	uooif
ười	uoiwf
ườu	uowuf
uỳa	uyaf
